iter	Accuracy	Logloss
0	0.5856471593	0.6898130205
1	0.6044425459	0.6864641577
2	0.6099957283	0.6832721445
3	0.6057240496	0.6802843462
4	0.6189662537	0.6757285033
5	0.6287911149	0.6727247649
6	0.6309269543	0.6693419014
7	0.6313541222	0.6673609735
8	0.6364801367	0.6646956756
9	0.6373344724	0.6628556885
10	0.6300726185	0.6611302182
11	0.6394703118	0.6590785483
12	0.6416061512	0.6568868619
13	0.6467321657	0.6545675274
14	0.6518581803	0.6524738282
15	0.6522853481	0.6506869131
16	0.656129859	0.6495142191
17	0.6612558736	0.646848851
18	0.6599743699	0.6455466462
19	0.6659547202	0.6438358184
20	0.6697992311	0.6423992688
21	0.6719350705	0.641209393
22	0.6732165741	0.6396977772
23	0.6813327638	0.6382926348
24	0.6864587783	0.6362496744
25	0.6873131141	0.6348244394
26	0.6851772747	0.6339891529
27	0.6864587783	0.6331929462
28	0.6864587783	0.6318809477
29	0.6860316104	0.6308416977
30	0.6911576249	0.6292131087
31	0.6911576249	0.6280544844
32	0.6885946177	0.6273176099
33	0.6873131141	0.6256981231
34	0.6873131141	0.6244058065
35	0.6911576249	0.6225495306
36	0.6920119607	0.6217349382
37	0.6920119607	0.6208179075
38	0.6932934643	0.6199074152
39	0.694574968	0.6192994162
40	0.6950021358	0.6183227208
41	0.694574968	0.6170999867
42	0.6967108073	0.6159157362
43	0.6988466467	0.614974841
44	0.7005553182	0.6141755824
45	0.7005553182	0.6130696766
46	0.7043998291	0.611739344
47	0.7065356685	0.6105777928
48	0.7065356685	0.6097417911
49	0.7056813328	0.6088972018
50	0.7069628364	0.6084028015
51	0.7095258437	0.6074643274
52	0.7065356685	0.6059343843
53	0.7069628364	0.6053414856
54	0.7095258437	0.6041197278
55	0.7095258437	0.6035186755
56	0.7108073473	0.602470113
57	0.7146518582	0.6008509914
58	0.7172148654	0.600245536
59	0.7167876976	0.5990382342
60	0.718923537	0.5984671632
61	0.718923537	0.5978545429
62	0.72234088	0.5969822437
63	0.7244767194	0.596238013
64	0.7227680478	0.5952496978
65	0.7244767194	0.5944007788
66	0.7253310551	0.5935903977
67	0.7266125587	0.5924642346
68	0.7244767194	0.5916792268
69	0.7249038872	0.5905901207
70	0.7253310551	0.589266179
71	0.7278940624	0.588000051
72	0.7304570696	0.5871851471
73	0.7308842375	0.5862847423
74	0.7304570696	0.5851726796
75	0.7321657411	0.584126645
76	0.7304570696	0.5829967057
77	0.7330200769	0.5819639837
78	0.732592909	0.5808985069
79	0.7338744126	0.5800420207
80	0.7355830842	0.578937777
81	0.736010252	0.5783675469
82	0.7385732593	0.577264039
83	0.7419906023	0.5761941116
84	0.7441264417	0.5751518328
85	0.7462622811	0.5741478148
86	0.7488252883	0.5730128899
87	0.7496796241	0.5720861478
88	0.7475437847	0.5704134848
89	0.7496796241	0.5691080167
90	0.7509611277	0.5678894774
91	0.7522426314	0.5668582359
92	0.7543784707	0.565535246
93	0.7548056386	0.5645922998
94	0.756941478	0.5633268396
95	0.7560871422	0.5619820205
96	0.7573686459	0.5610197909
97	0.7582229816	0.5599644339
98	0.7586501495	0.5587406205
99	0.7573686459	0.557709724
100	0.7586501495	0.5562896554
101	0.7595044853	0.5549554638
