iter	Passed	Remaining
0	10	2084
1	17	1729
2	24	1580
3	30	1490
4	36	1440
5	43	1414
6	50	1381
7	56	1352
8	62	1333
9	69	1317
10	75	1305
11	82	1292
12	89	1281
13	95	1271
14	102	1265
15	109	1257
16	115	1246
17	123	1244
18	130	1242
19	138	1245
20	145	1239
21	152	1234
22	160	1235
23	168	1237
24	177	1240
25	184	1238
26	192	1235
27	201	1234
28	209	1233
29	218	1235
30	227	1241
31	237	1244
32	246	1247
33	256	1251
34	265	1253
35	274	1252
36	284	1253
37	293	1252
38	303	1253
39	312	1251
40	322	1250
41	332	1249
42	341	1245
43	350	1242
44	360	1240
45	369	1236
46	378	1233
47	388	1229
48	397	1225
49	407	1221
50	416	1217
51	426	1212
52	435	1208
53	445	1203
54	454	1197
55	462	1188
56	471	1181
57	480	1176
58	488	1168
59	497	1160
60	504	1150
61	512	1141
62	520	1132
63	528	1123
64	536	1115
65	545	1106
66	552	1097
67	561	1089
68	569	1081
69	577	1073
70	585	1064
71	593	1055
72	601	1046
73	609	1037
74	617	1028
75	624	1019
76	632	1010
77	639	1000
78	646	990
79	654	982
80	662	973
81	669	963
82	677	954
83	685	946
84	692	936
85	699	927
86	706	917
87	714	909
88	722	900
89	729	891
90	737	883
91	745	875
92	752	866
93	760	857
94	768	849
95	776	841
96	784	833
97	792	824
98	800	816
99	808	808
100	816	800
101	824	792
102	832	783
103	839	774
104	847	766
105	855	758
106	863	750
107	872	743
108	879	734
109	887	725
110	895	717
111	903	709
112	911	701
113	919	693
114	927	685
115	934	676
116	942	668
117	950	660
118	958	652
119	966	644
120	973	635
121	982	627
122	990	620
123	998	612
124	1006	604
125	1015	596
126	1023	588
127	1031	580
128	1039	572
129	1047	563
130	1054	555
131	1062	547
132	1070	539
133	1078	531
134	1086	523
135	1095	515
136	1102	506
137	1110	498
138	1118	490
139	1126	482
140	1134	474
141	1142	466
142	1149	458
143	1157	450
144	1166	442
145	1174	434
146	1182	426
147	1190	418
148	1198	410
149	1205	401
150	1213	393
151	1221	385
152	1229	377
153	1237	369
154	1245	361
155	1253	353
156	1260	345
157	1268	337
158	1276	329
159	1284	321
160	1292	313
161	1300	305
162	1308	297
163	1317	289
164	1324	280
165	1331	272
166	1339	264
167	1348	256
168	1356	248
169	1364	240
170	1371	232
171	1379	224
172	1387	216
173	1395	208
174	1403	200
175	1410	192
176	1418	184
177	1426	176
178	1434	168
179	1442	160
180	1450	152
181	1458	144
182	1465	136
183	1473	128
184	1482	120
185	1490	112
186	1498	104
187	1505	96
188	1513	88
189	1521	80
190	1530	72
191	1538	64
192	1545	56
193	1553	48
194	1561	40
195	1569	32
196	1577	24
197	1585	16
198	1592	8
199	1599	0
